cp,mp,popSize,top_1,top_3,top_5,avg_exam_1,avg_exam_3,avg_exam_5
0.6,0.44,400,7,19,24,0.01,0.561,0.433
0.7,0.46,400,7,19,24,0.01,0.561,0.433
0.6,0.36,250,7,19,25,0.01,0.561,0.496
0.6,0.16,250,7,19,25,0.01,0.561,0.496
1.0,0.28,200,7,21,25,0.01,0.603,0.432
0.8,0.44,300,7,9,14,0.01,0.444,0.529
0.8,0.14,100,1,9,20,0.01,0.667,0.62
0.1,0.46,150,7,19,24,0.01,0.561,0.433
0.1,0.42,150,7,19,24,0.01,0.561,0.433
0.2,0.4,500,7,8,25,0.01,0.375,0.664
0.2,0.24,250,7,19,25,0.01,0.561,0.496
1.0,0.28,500,7,8,25,0.01,0.375,0.664
0.1,0.42,400,7,19,24,0.01,0.561,0.433
0.7,0.34,300,7,9,14,0.01,0.444,0.529
0.3,0.22,400,7,19,24,0.01,0.561,0.433
0.8,0.48,500,7,8,25,0.01,0.375,0.664
1.0,0.26,400,7,19,24,0.01,0.561,0.433
0.4,0.3,300,7,9,14,0.01,0.444,0.529
0.8,0.1,100,1,15,23,0.01,0.956,0.713
0.2,0.46,150,7,19,24,0.01,0.561,0.433
0.8,0.14,200,7,19,21,0.01,0.561,0.381
0.8,0.14,500,7,8,25,0.01,0.375,0.664
0.9,0.26,350,1,9,20,0.01,0.667,0.62
0.1,0.24,400,7,19,24,0.01,0.561,0.433
1.0,0.34,200,7,21,25,0.01,0.603,0.432
0.6,0.38,250,7,19,25,0.01,0.561,0.496
0.9,0.04,400,7,19,24,0.01,0.561,0.433
0.7,0.22,500,7,8,25,0.01,0.375,0.664
0.5,0.4,350,1,9,20,0.01,0.667,0.62
0.8,0.26,150,7,19,24,0.01,0.561,0.433
0.3,0.42,400,7,19,24,0.01,0.561,0.433
0.1,0.44,100,7,14,19,0.01,0.643,0.495
0.7,0.12,200,1,14,22,0.01,0.786,0.664
0.1,0.06,150,7,19,24,0.01,0.561,0.433
0.4,0.28,250,7,19,25,0.01,0.561,0.496
0.6,0.08,200,1,14,22,0.01,0.786,0.591
