cp,mp,popSize,top_1,top_3,top_5,avg_exam_1,avg_exam_3,avg_exam_5
0.8,0.5,300,7,9,14,0.01,0.444,0.529
0.1,0.5,500,7,8,25,0.01,0.375,0.664
0.4,0.5,400,7,19,24,0.01,0.561,0.433
0.6,1,150,7,19,24,0.01,0.561,0.433
0.6,0.7,100,7,18,23,0.01,0.537,0.47
0.3,0.2,450,1,19,19,0.01,0.842,0.505
0.3,0.2,50,7,9,25,0.01,0.444,0.648
0.1,0.9,150,7,19,24,0.01,0.561,0.433
1,0.2,400,7,19,24,0.01,0.561,0.433
0.5,0.6,300,7,9,14,0.01,0.444,0.529
0.4,0.4,450,1,19,19,0.01,0.842,0.505
0.7,0.9,250,7,19,25,0.01,0.561,0.496
0.7,0.6,400,7,19,24,0.01,0.561,0.433
0.5,0.3,200,7,19,25,0.01,0.737,0.576
0.2,0.8,400,7,19,24,0.01,0.561,0.433
0.2,0.6,50,1,14,14,0.01,0.786,0.471
0.1,0.1,350,1,9,20,0.01,0.667,0.62
0.2,0.7,200,7,18,25,0.01,0.741,0.592
0.1,0.8,300,7,9,14,0.01,0.444,0.529
0.7,0.2,150,7,19,24,0.01,0.561,0.433
0.2,0.4,150,7,19,24,0.01,0.561,0.433
1,1,200,7,21,25,0.01,0.603,0.432
0.5,0.9,350,1,9,20,0.01,0.667,0.62
1,0.8,150,7,19,24,0.01,0.561,0.433
0.2,0.8,100,1,9,20,0.01,0.667,0.62
1,0.5,450,1,19,19,0.01,0.842,0.505
0.3,0.4,450,1,19,19,0.01,0.842,0.505
0.9,0.2,100,1,9,22,0.01,0.667,0.655
0.6,0.8,500,7,8,25,0.01,0.375,0.664
0.9,0.8,500,7,8,25,0.01,0.375,0.664
0.4,0.7,100,7,14,19,0.01,0.643,0.495
0.3,0.1,200,7,19,25,0.01,0.737,0.576
0.1,0.3,500,7,8,25,0.01,0.375,0.664
0.7,0.1,250,7,19,25,0.01,0.561,0.496
0.6,0.3,500,7,8,25,0.01,0.375,0.664
0.3,0.6,450,1,19,19,0.01,0.842,0.505
0.9,0.1,250,7,19,25,0.01,0.561,0.496
0.5,0.4,200,7,18,21,0.01,0.537,0.39
0.8,0.1,250,7,19,25,0.01,0.561,0.496
1,0.2,250,7,19,25,0.01,0.561,0.496
0.3,0.4,400,7,19,24,0.01,0.561,0.433
0.7,0.2,50,7,8,14,0.01,0.417,0.571
0.1,0.2,200,7,19,25,0.01,0.737,0.576
0.8,0.5,400,7,19,24,0.01,0.561,0.433
0.1,0.7,500,7,8,25,0.01,0.375,0.664
1,0.6,400,7,19,24,0.01,0.561,0.433
0.8,0.2,400,7,19,24,0.01,0.561,0.433
1,0.3,50,7,18,25,0.01,0.741,0.592
0.7,0.5,500,7,8,25,0.01,0.375,0.664
0.7,0.8,400,7,19,24,0.01,0.561,0.433
0.8,0.1,300,7,9,14,0.01,0.444,0.529
0.5,0.2,300,7,9,14,0.01,0.444,0.529
0.9,1,250,7,19,25,0.01,0.561,0.496
1,0.5,300,7,9,14,0.01,0.444,0.529
0.1,0.8,150,7,19,24,0.01,0.561,0.433
0.3,1,150,7,19,24,0.01,0.561,0.433
0.8,0.1,400,7,19,24,0.01,0.561,0.433
0.3,0.7,350,1,9,20,0.01,0.667,0.62
0.2,0.1,50,7,13,13,0.01,0.641,0.385
0.1,0.9,500,7,8,25,0.01,0.375,0.664
0.3,0.5,150,7,19,24,0.01,0.561,0.433
0.9,0.3,300,7,9,14,0.01,0.444,0.529
0.6,0.2,200,1,18,22,0.01,0.704,0.491
